filename,filepath,lat,lon,heading,pitch,location_id
51.497111_-0.179469_h0_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497111_-0.179469_h0_p20.jpg,51.497111,-0.179469,0,20,19
51.497111_-0.179469_h135_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497111_-0.179469_h135_p20.jpg,51.497111,-0.179469,135,20,19
51.497111_-0.179469_h180_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497111_-0.179469_h180_p20.jpg,51.497111,-0.179469,180,20,19
51.497111_-0.179469_h225_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497111_-0.179469_h225_p20.jpg,51.497111,-0.179469,225,20,19
51.497111_-0.179469_h270_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497111_-0.179469_h270_p20.jpg,51.497111,-0.179469,270,20,19
51.497111_-0.179469_h315_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497111_-0.179469_h315_p20.jpg,51.497111,-0.179469,315,20,19
51.497111_-0.179469_h45_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497111_-0.179469_h45_p20.jpg,51.497111,-0.179469,45,20,19
51.497111_-0.179469_h90_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497111_-0.179469_h90_p20.jpg,51.497111,-0.179469,90,20,19
51.497114_-0.174062_h0_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497114_-0.174062_h0_p20.jpg,51.497114,-0.174062,0,20,20
51.497114_-0.174062_h135_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497114_-0.174062_h135_p20.jpg,51.497114,-0.174062,135,20,20
51.497114_-0.174062_h180_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497114_-0.174062_h180_p20.jpg,51.497114,-0.174062,180,20,20
51.497114_-0.174062_h225_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497114_-0.174062_h225_p20.jpg,51.497114,-0.174062,225,20,20
51.497114_-0.174062_h270_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497114_-0.174062_h270_p20.jpg,51.497114,-0.174062,270,20,20
51.497114_-0.174062_h315_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497114_-0.174062_h315_p20.jpg,51.497114,-0.174062,315,20,20
